Test Case ID ,,"Test Case
Description",,Test Steps,,"Expected
Result",,Actual Result,,Status,,"Security 
Level",,Remarks,,,
,,,,,,,,,,,,,,,,,
TC001,,"validate
product Listing
page",,"Open
 product page >
 Verify products",,"Products
 displayed
 correctly",,"Products 
displayed correctly",,Passed,,Medium,,No issues found,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
TC002,,"Test API error
handling",,"Disconnect API > 
Refresh page",,"Show fallback
 UI with error message",,"Error message
 shown",,Passed,,Medium,,"Handled
 gracefully",,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
TC003,,"Check cart
 functionality",,"Add
 product to cart >
 Verify cart contents",,"Cart updates 
with added product",,"Cart updates
 as expected",,Passed,,Medium,,"Works as 
expected",,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
TC004,," Ensure
Responsiveness
on mobile",,Resize browser window > Check layout,,"Layout adjusts
 properly
 to screen size",,"Responsive layout 
working as
 intended",,Passed,,High,,"Test
 successful",,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
TC005,,"verify clerk
authentication",,"User should be
 authenticated 
successfully",,"User
 authenticated
 successfully",,"User 
authenticated 
successfully",,Passed,,Medium,,"Clerk
 authentication
 working",,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
TC006,,"Test Stripe 
payment 
integration",,"Complete payment
 with valid card",,"Payment 
processed 
successfully",,"Payment
 successful",,Passed,,High,,"Stripe 
gateway 
works fine",,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
TC007,,"Test shipment
process ",,"Create shipment
 order with 
valid address",,"Shipment
 processed
 successfully",,"Shipment
 processed",,Passed,,Medium,,"ShipEngine
 working
 correctly",,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
